cluster_center	other_electrode, euclidean_distance**
Fpz	Fp2,27.253944396972656	Fp1,31.346410751342773	AFz,42.14373779296875	AF4,47.708030700683594	AF8,53.468257904052734	AF3,54.53252029418945	AF7,62.28264236450195	Fz,66.18704223632812	F4,67.27577209472656	F2,70.31167602539062	F6,71.10592651367188	F1,72.30525970458984	F3,72.89533233642578	F5,75.18926239013672	F8,78.63954162597656	F7,82.35150146484375	FC4,97.0296630859375	FC6,97.8590316772461	FC2,98.94830322265625	FCz,99.56497955322266	FC3,100.8689193725586	FT8,101.63420867919922	FC1,101.72138214111328	FC5,102.2771224975586	FT7,104.67594909667969	C6,123.78411102294922	T8,123.89795684814453	C4,125.06205749511719	T7,126.76387786865234	C5,127.87206268310547	C2,127.90370178222656	Cz,129.01351928710938	C1,129.1691436767578	C3,129.7620849609375	TP8,147.46665954589844	CP6,148.03074645996094	TP7,148.25709533691406	CP5,149.63433837890625	CP4,150.04248046875	CP3,152.53326416015625	CP2,152.9679412841797	CP1,154.82521057128906	CPz,155.7265167236328	P8,162.65040588378906	P7,165.08189392089844	P6,165.38540649414062	P4,167.9585723876953	P5,167.96241760253906	P2,168.2157745361328	P1,168.9510040283203	Pz,169.9996795654297	P3,170.55181884765625	PO8,177.3673095703125	PO4,177.84117126464844	PO7,179.837158203125	PO3,180.6039276123047	POz,182.86489868164062	O1,185.38995361328125	O2,186.97442626953125	Oz,189.60374450683594	
P5	P7,23.150880813598633	P3,25.73664665222168	PO3,26.939023971557617	CP5,27.9851016998291	PO7,29.741455078125	TP7,41.56924057006836	CP3,42.13554382324219	O1,46.73646545410156	P1,49.79743576049805	C5,56.09929275512695	T7,63.192264556884766	CP1,63.51633834838867	POz,63.522613525390625	C3,65.0506591796875	Oz,68.56613159179688	Pz,72.01077270507812	C1,83.4380111694336	FC5,84.90708923339844	O2,85.18975830078125	CPz,85.66852569580078	FT7,85.96077728271484	P2,89.48698425292969	FC3,91.54619598388672	PO4,94.49595642089844	P4,101.93595886230469	FC1,101.97914123535156	PO8,102.94461822509766	Cz,102.99414825439453	CP2,104.31146240234375	F7,109.35282135009766	P6,109.94293212890625	F5,113.65514373779297	C2,117.13198852539062	F3,117.80365753173828	P8,117.9727783203125	CP4,118.38745880126953	FCz,119.590087890625	CP6,124.0565185546875	F1,124.46368408203125	TP8,130.4635772705078	FC2,130.85641479492188	AF7,131.3105010986328	C4,132.2146453857422	AF3,133.6792755126953	C6,138.33291625976562	Fz,139.82908630371094	T8,142.8145751953125	FC4,142.8663330078125	F2,145.77134704589844	FC6,149.87362670898438	FT8,152.22003173828125	AFz,153.3348388671875	Fp1,154.6113739013672	F4,156.07943725585938	F6,161.73709106445312	F8,162.0890655517578	Fpz,167.96241760253906	AF4,168.06724548339844	AF8,172.04501342773438	Fp2,175.45721435546875	
P7	P5,23.150880813598633	PO7,26.11835289001465	TP7,26.476524353027344	CP5,35.64476776123047	PO3,40.62443542480469	O1,47.13608169555664	P3,48.2240104675293	T7,53.239898681640625	C5,58.541019439697266	CP3,60.662601470947266	P1,70.6709976196289	Oz,71.7186508178711	POz,76.51380920410156	C3,77.34288024902344	FT7,78.4841537475586	CP1,83.67139434814453	FC5,85.26466369628906	O2,87.47904205322266	Pz,89.78785705566406	FC3,98.43762969970703	C1,99.17344665527344	PO4,101.99942016601562	F7,103.11956024169922	CPz,103.98284149169922	P2,104.1457290649414	PO8,104.77403259277344	P4,112.26522064208984	F5,112.58089447021484	FC1,112.69038391113281	P6,115.89566040039062	Cz,118.458740234375	P8,118.94707489013672	CP2,119.29627990722656	F3,120.8032455444336	AF7,125.96267700195312	CP4,128.8678436279297	CP6,129.63134765625	C2,130.37269592285156	F1,130.37693786621094	TP8,130.6817169189453	FCz,130.82798767089844	AF3,132.48977661132812	FC2,140.6652069091797	C4,141.1261749267578	T8,142.26284790039062	C6,142.612060546875	Fz,146.1994171142578	FC4,149.6814727783203	Fp1,150.5337371826172	FT8,151.3873291015625	F2,152.07958984375	FC6,153.09732055664062	AFz,156.26683044433594	F4,160.22837829589844	F8,160.69854736328125	F6,163.13015747070312	Fpz,165.08189392089844	AF4,168.81390380859375	AF8,170.3329315185547	Fp2,172.8927764892578	
PO3	PO7,24.688068389892578	P3,26.69771957397461	P5,26.939023971557617	O1,27.69847869873047	POz,40.188209533691406	P7,40.62443542480469	P1,42.23341369628906	Oz,45.311927795410156	CP5,53.30330276489258	CP3,56.59103775024414	Pz,57.84051513671875	O2,63.29655838012695	TP7,64.42964935302734	CP1,65.63892364501953	P2,73.42786407470703	PO4,73.71887969970703	CPz,79.30636596679688	C5,80.10966491699219	C3,82.77653503417969	PO8,83.73489379882812	P4,84.28705596923828	T7,86.95535278320312	C1,92.0097427368164	P6,92.68343353271484	CP2,94.07858276367188	P8,102.4044189453125	Cz,104.1777572631836	CP4,105.94962310791016	FC5,107.02135467529297	FT7,108.71805572509766	FC3,109.64541625976562	CP6,111.00189971923828	C2,113.52801513671875	FC1,114.15599060058594	TP8,118.34534454345703	C4,125.45397186279297	FCz,125.6522445678711	C6,130.50381469726562	F7,130.5712890625	FC2,132.46340942382812	F5,133.79600524902344	T8,135.46395874023438	F3,135.48199462890625	F1,138.48484802246094	FC4,141.67759704589844	FC6,147.1290740966797	FT8,148.95919799804688	Fz,149.72694396972656	AF7,151.0435028076172	F2,151.65284729003906	AF3,151.92124938964844	F4,159.96253967285156	F8,162.86016845703125	F6,163.692138671875	AFz,164.87232971191406	Fp1,171.1574249267578	AF4,174.0330810546875	AF8,176.93927001953125	Fpz,180.6039276123047	Fp2,184.4327392578125	
PO7	O1,22.3637638092041	PO3,24.688068389892578	P7,26.11835289001465	P5,29.741455078125	P3,46.02267837524414	Oz,48.52553176879883	TP7,52.07354736328125	CP5,54.73940658569336	POz,58.26280212402344	P1,64.95928955078125	O2,66.40579986572266	CP3,70.1013412475586	T7,78.03717041015625	Pz,79.5858154296875	C5,80.37797546386719	PO4,84.44139862060547	CP1,85.38272094726562	PO8,87.24378204345703	P2,92.22074890136719	C3,92.31553649902344	P4,98.42278289794922	CPz,100.05694580078125	P6,101.71408081054688	FT7,102.06035614013672	P8,105.52086639404297	FC5,106.93919372558594	C1,107.24797821044922	CP2,112.48597717285156	FC3,115.82746887207031	CP6,119.75312042236328	CP4,120.02606201171875	TP8,120.9844741821289	Cz,121.1924057006836	FC1,124.95529174804688	F7,125.35432434082031	C2,129.46116638183594	F5,133.30796813964844	T8,137.5578155517578	C4,137.58309936523438	C6,137.8712615966797	FCz,138.33644104003906	F3,138.98880004882812	FC2,144.62124633789062	F1,145.23974609375	AF7,146.9534149169922	FT8,150.879150390625	FC4,151.34474182128906	AF3,151.83006286621094	FC6,153.3081817626953	Fz,157.7174072265625	F2,160.16099548339844	F8,164.21498107910156	F4,166.69448852539062	F6,167.86329650878906	Fp1,168.77394104003906	AFz,169.62538146972656	AF4,177.35096740722656	AF8,177.88414001464844	Fpz,179.837158203125	Fp2,184.3072967529297	
O1	PO7,22.3637638092041	Oz,26.539525985717773	PO3,27.69847869873047	POz,43.92567825317383	O2,45.218788146972656	P5,46.73646545410156	P7,47.13608169555664	P3,53.4785270690918	P1,64.87774658203125	PO4,66.04364776611328	PO8,68.0271987915039	TP7,71.63539123535156	Pz,72.01700592041016	CP5,72.18836212158203	P2,80.55949401855469	CP3,81.29815673828125	P4,83.18201446533203	P6,85.03385162353516	P8,88.92073822021484	CP1,88.9234390258789	T7,95.80192565917969	CPz,96.45184326171875	C5,96.9107894897461	CP2,104.12840270996094	C3,104.38685607910156	CP6,105.93620300292969	TP8,106.89256286621094	CP4,108.09365844726562	C1,113.0224838256836	FT7,117.90747833251953	Cz,121.1002197265625	FC5,121.63191986083984	C2,124.86968994140625	T8,127.0539779663086	FC3,127.3255844116211	C6,127.63623809814453	C4,129.180419921875	FC1,132.08428955078125	F7,139.28672790527344	FCz,140.52645874023438	FC2,142.8739013671875	FT8,143.51953125	F5,145.98947143554688	FC4,146.6641387939453	FC6,146.77053833007812	F3,149.59982299804688	F1,152.94224548339844	AF7,159.20657348632812	F8,159.9623565673828	F2,160.99110412597656	Fz,161.89932250976562	AF3,162.63441467285156	F6,164.75927734375	F4,165.50099182128906	AFz,174.66026306152344	AF8,176.88253784179688	AF4,177.41029357910156	Fp1,177.87762451171875	Fpz,185.38995361328125	Fp2,186.65858459472656	
Fp2	Fpz,27.253944396972656	AF8,28.39257049560547	AF4,29.05438995361328	F6,50.79939651489258	AFz,52.211692810058594	F4,54.90399932861328	F8,56.517887115478516	Fp1,57.41730499267578	F2,66.9709701538086	Fz,72.61705017089844	AF3,77.9660873413086	FC6,80.03863525390625	FT8,82.00889587402344	FC4,84.70616912841797	AF7,85.58883666992188	F1,86.40235137939453	F3,91.89078521728516	FC2,94.3734130859375	F5,96.35270690917969	F7,102.56439971923828	FCz,102.68372344970703	T8,106.5653076171875	C6,107.99533081054688	FC1,112.19425201416016	C4,113.29845428466797	FC3,116.3033676147461	FC5,119.90631866455078	FT7,121.85964965820312	C2,123.26553344726562	Cz,130.5904083251953	TP8,132.9968719482422	CP6,135.10157775878906	C1,136.9603729248047	CP4,140.0059814453125	T7,140.9339141845703	C5,142.1928253173828	C3,142.19515991210938	CP2,147.9733123779297	P8,150.82640075683594	P6,155.1519775390625	CPz,155.91380310058594	TP7,159.17721557617188	P4,159.99545288085938	CP1,160.34046936035156	CP5,160.57545471191406	CP3,161.96548461914062	P2,163.73760986328125	PO8,168.64776611328125	Pz,169.21046447753906	PO4,170.6451873779297	P1,172.387939453125	P7,172.8927764892578	P5,175.45721435546875	P3,176.51695251464844	POz,181.31695556640625	O2,181.67189025878906	PO7,184.3072967529297	PO3,184.4327392578125	O1,186.65858459472656	Oz,187.1720428466797	
AF4	AF8,22.26041603088379	F6,26.7662353515625	F4,27.12448501586914	Fp2,29.05438995361328	F8,43.179317474365234	F2,44.40315246582031	AFz,46.70558166503906	Fpz,47.708030700683594	FC6,56.373069763183594	FC4,57.68092346191406	Fz,58.455604553222656	FT8,66.6670150756836	FC2,69.77342224121094	Fp1,74.50577545166016	F1,79.18241882324219	FCz,83.26849365234375	AF3,85.67550659179688	C6,86.03823852539062	C4,87.79510498046875	T8,91.08501434326172	F3,91.31256103515625	AF7,98.31559753417969	C2,99.01061248779297	FC1,99.97918701171875	F5,101.269775390625	Cz,109.9742202758789	FC3,110.96441650390625	F7,111.53041076660156	CP6,114.61499786376953	CP4,116.69807434082031	TP8,117.36902618408203	FC5,120.57815551757812	C1,122.14797973632812	CP2,125.06552124023438	FT7,127.2943344116211	C3,133.8597869873047	P8,135.47206115722656	CPz,135.79544067382812	P6,136.6015625	C5,139.70846557617188	P4,139.7677459716797	P2,143.38217163085938	T7,143.39341735839844	CP1,144.80799865722656	Pz,150.78799438476562	CP3,151.7115478515625	PO4,153.29769897460938	PO8,154.02182006835938	CP5,155.30398559570312	P1,157.28004455566406	TP7,158.6718292236328	P3,165.1807403564453	POz,165.7594451904297	P5,168.06724548339844	O2,168.43118286132812	P7,168.81390380859375	PO3,174.0330810546875	Oz,175.06533813476562	PO7,177.35096740722656	O1,177.41029357910156	
AF8	AF4,22.26041603088379	F6,27.489858627319336	Fp2,28.39257049560547	F8,29.440040588378906	F4,44.0356330871582	Fpz,53.468257904052734	FC6,55.869754791259766	FT8,56.00431442260742	F2,63.86729431152344	AFz,65.45909118652344	FC4,67.3521957397461	Fz,78.1335678100586	Fp1,80.78665924072266	T8,81.78256225585938	C6,84.1227035522461	FC2,84.92433166503906	C4,93.7679214477539	F1,96.04143524169922	AF3,96.37107849121094	FCz,100.34333038330078	AF7,104.14196014404297	F3,104.95246124267578	TP8,109.89994812011719	C2,110.83845520019531	F5,111.05375671386719	CP6,112.85350799560547	FC1,115.6334228515625	F7,116.63133239746094	CP4,120.53545379638672	FC3,123.87789154052734	Cz,124.02627563476562	FC5,129.43992614746094	P8,129.54324340820312	FT7,131.5628662109375	CP2,133.3385009765625	P6,134.79830932617188	C1,135.8678741455078	P4,141.5695037841797	C3,145.16583251953125	CPz,146.05662536621094	T7,146.5245819091797	C5,147.14358520507812	P2,148.59498596191406	PO8,149.69424438476562	PO4,152.68814086914062	CP1,155.48219299316406	Pz,157.47723388671875	TP7,160.57284545898438	CP3,160.8791046142578	CP5,161.21873474121094	P1,164.72830200195312	O2,165.57736206054688	POz,168.40731811523438	P7,170.3329315185547	P3,171.2919921875	P5,172.04501342773438	Oz,173.64291381835938	O1,176.88253784179688	PO3,176.93927001953125	PO7,177.88414001464844	
F2	F4,23.793092727661133	Fz,24.843788146972656	FC2,31.78963279724121	AFz,37.165775299072266	FC4,40.04777526855469	FCz,40.679481506347656	AF4,44.40315246582031	F6,49.437660217285156	F1,50.677024841308594	FC6,60.19734573364258	FC1,63.30291748046875	AF8,63.86729431152344	C2,64.0121841430664	Fp2,66.9709701538086	C4,68.0694580078125	Cz,69.89936065673828	Fpz,70.31167602539062	F8,70.8871078491211	F3,70.90974426269531	AF3,78.83628845214844	C6,82.25098419189453	FT8,82.73983764648438	FC3,82.76861572265625	C1,84.24108123779297	Fp1,84.26512908935547	F5,88.5587387084961	CP2,94.25489807128906	CP4,95.8766098022461	AF7,98.19270324707031	T8,99.4316177368164	CPz,100.53315734863281	FC5,101.59371185302734	C3,102.8270263671875	CP6,104.91942596435547	F7,105.96293640136719	CP1,109.66464233398438	P2,116.64125061035156	FT7,117.3011245727539	C5,117.7789077758789	TP8,118.20684051513672	P4,119.93758392333984	Pz,120.97273254394531	CP3,121.10505676269531	P6,124.08984375	P1,126.64234924316406	T7,130.73300170898438	P8,131.15516662597656	CP5,132.22366333007812	PO4,136.9426727294922	P3,137.7773895263672	POz,142.6758270263672	TP7,144.31446838378906	PO8,144.9291534423828	P5,145.77134704589844	PO3,151.65284729003906	P7,152.07958984375	O2,155.65184020996094	Oz,159.4801788330078	PO7,160.16099548339844	O1,160.99110412597656	
F4	F2,23.793092727661133	F6,26.62485122680664	AF4,27.12448501586914	FC4,33.447776794433594	FC6,43.505104064941406	FC2,43.911930084228516	AF8,44.0356330871582	Fz,46.14262771606445	AFz,47.701114654541016	F8,49.71815490722656	Fp2,54.90399932861328	FCz,61.570899963378906	FT8,64.4420394897461	C4,64.99253845214844	Fpz,67.27577209472656	F1,70.56609344482422	C6,71.02262115478516	C2,73.50369262695312	FC1,84.30215454101562	T8,84.67882537841797	Cz,86.3765640258789	F3,87.66382598876953	Fp1,88.13168334960938	AF3,90.2151870727539	CP4,95.16143798828125	CP6,98.30803680419922	CP2,101.21473693847656	FC3,101.22295379638672	F5,101.83048248291016	C1,103.1362533569336	AF7,106.18955993652344	TP8,107.59623718261719	CPz,112.87256622314453	F7,115.34265899658203	FC5,116.107421875	P4,120.39066314697266	C3,120.42652893066406	P6,120.44770050048828	P2,122.07157135009766	P8,123.87677001953125	CP1,125.07244110107422	FT7,127.35254669189453	Pz,129.9737091064453	C5,131.79164123535156	CP3,136.4359588623047	PO4,136.6168670654297	P1,138.46829223632812	T7,140.48545837402344	PO8,141.1544647216797	CP5,144.82598876953125	POz,148.27882385253906	P3,149.5018310546875	TP7,153.12046813964844	O2,155.1632843017578	P5,156.07943725585938	PO3,159.96253967285156	P7,160.22837829589844	Oz,161.6357421875	O1,165.50099182128906	PO7,166.69448852539062	
F6	F8,24.0023250579834	F4,26.62485122680664	AF4,26.7662353515625	AF8,27.489858627319336	FC6,30.790653228759766	FC4,41.12649154663086	FT8,42.58855056762695	F2,49.437660217285156	Fp2,50.79939651489258	C6,61.056278228759766	FC2,63.04185485839844	AFz,66.63922119140625	T8,66.68685150146484	C4,67.52539825439453	Fz,69.9961166381836	Fpz,71.10592651367188	FCz,83.58320617675781	C2,86.87298583984375	CP6,91.01873016357422	F1,91.20993041992188	TP8,93.59779357910156	Fp1,95.11361694335938	CP4,95.92579650878906	AF3,102.99665832519531	Cz,103.84011840820312	FC1,104.4008560180664	F3,104.53797149658203	CP2,109.41740417480469	P8,112.8977279663086	AF7,114.11257934570312	F5,114.44060516357422	P6,114.57801055908203	FC3,117.98625183105469	P4,119.56842041015625	C1,120.74462890625	F7,122.90711975097656	CPz,124.8618392944336	P2,126.50186920166016	FC5,128.16920471191406	PO8,133.22984313964844	PO4,133.31947326660156	FT7,134.18128967285156	C3,135.371337890625	Pz,137.18540954589844	CP1,138.49215698242188	C5,142.2411346435547	T7,145.97125244140625	P1,147.51011657714844	CP3,148.52992248535156	O2,150.0400848388672	POz,150.44361877441406	CP5,153.22525024414062	TP7,156.91705322265625	P3,157.39837646484375	Oz,158.94529724121094	P5,161.73709106445312	P7,163.13015747070312	PO3,163.692138671875	O1,164.75927734375	PO7,167.86329650878906	
F8	F6,24.0023250579834	FT8,26.839784622192383	AF8,29.440040588378906	FC6,35.0034294128418	AF4,43.179317474365234	F4,49.71815490722656	T8,53.02777099609375	Fp2,56.517887115478516	FC4,57.03945541381836	C6,58.88289260864258	F2,70.8871078491211	C4,75.83135986328125	Fpz,78.63954162597656	FC2,81.13818359375	TP8,82.04901123046875	AFz,84.03775024414062	CP6,87.31706237792969	Fz,89.343017578125	CP4,99.4505615234375	C2,100.15486907958984	FCz,101.31541442871094	Fp1,101.58606719970703	P8,102.91082000732422	F1,106.93981170654297	P6,109.85800170898438	AF3,112.51945495605469	F3,116.6417465209961	CP2,117.45944213867188	Cz,118.04280853271484	AF7,118.89253234863281	FC1,119.07012939453125	P4,119.25433349609375	F5,122.54513549804688	PO8,124.78129577636719	F7,126.20333862304688	FC3,129.08229064941406	PO4,129.46803283691406	P2,129.98715209960938	C1,133.260498046875	CPz,134.1447296142578	FC5,134.75070190429688	FT7,135.93862915039062	Pz,141.81536865234375	O2,142.9621124267578	C3,144.46937561035156	T7,145.97775268554688	C5,146.86813354492188	CP1,147.30941772460938	POz,149.84580993652344	P1,152.42611694335938	Oz,153.3174591064453	CP3,155.0699920654297	TP7,155.1595001220703	CP5,155.90646362304688	O1,159.9623565673828	P3,160.35984802246094	P7,160.69854736328125	P5,162.0890655517578	PO3,162.86016845703125	PO7,164.21498107910156	
FC2	FCz,28.29254150390625	FC4,29.586166381835938	F2,31.78963279724121	C2,32.457481384277344	F4,43.911930084228516	C4,44.19865036010742	Cz,44.20377731323242	Fz,45.818031311035156	FC6,57.04625701904297	FC1,58.70597457885742	F6,63.04185485839844	F1,63.50586700439453	CP2,63.66279220581055	AFz,66.23238372802734	C6,67.79536437988281	C1,67.86582946777344	CP4,68.69915008544922	AF4,69.77342224121094	CPz,72.34042358398438	F8,81.13818359375	FT8,82.79774475097656	FC3,83.55327606201172	F3,83.7347412109375	CP6,84.0744400024414	AF8,84.92433166503906	CP1,87.67280578613281	P2,88.16069030761719	T8,91.70982360839844	P4,93.42125701904297	C3,93.6010971069336	Pz,93.78898620605469	Fp2,94.3734130859375	AF3,98.50080108642578	Fpz,98.94830322265625	P6,101.27973937988281	F5,101.52169036865234	P1,103.2608642578125	TP8,103.86314392089844	FC5,105.24037170410156	CP3,105.61067962646484	Fp1,109.3602066040039	PO4,112.7351303100586	P8,113.29380798339844	C5,113.54196166992188	AF7,116.38892364501953	F7,117.99051666259766	POz,118.18441009521484	P3,118.53084564208984	CP5,121.7679214477539	FT7,122.75267028808594	PO8,124.67301940917969	T7,130.1780548095703	P5,130.85641479492188	PO3,132.46340942382812	O2,134.7148895263672	TP7,138.18992614746094	Oz,138.71519470214844	P7,140.6652069091797	O1,142.8739013671875	PO7,144.62124633789062	
FC4	FC6,28.66908836364746	FC2,29.586166381835938	C4,31.802005767822266	F4,33.447776794433594	F2,40.04777526855469	F6,41.12649154663086	C6,44.97060775756836	C2,47.436275482177734	FT8,56.72413635253906	FCz,56.74810791015625	F8,57.03945541381836	AF4,57.68092346191406	Fz,62.59260177612305	CP4,62.95862579345703	AF8,67.3521957397461	T8,67.92879486083984	Cz,68.95972442626953	CP6,69.39459228515625	CP2,71.84497833251953	AFz,74.44248962402344	F1,83.47526550292969	FC1,84.17318725585938	Fp2,84.70616912841797	TP8,85.12368774414062	CPz,89.08451843261719	P4,90.3510971069336	P6,91.99585723876953	C1,92.95628356933594	P2,93.25930786132812	Fpz,97.0296630859375	P8,99.34634399414062	F3,101.38188171386719	Pz,104.53562927246094	FC3,104.99864959716797	CP1,107.9585189819336	PO4,108.82140350341797	AF3,110.25495147705078	Fp1,113.73292541503906	C3,115.37980651855469	F5,115.87464141845703	PO8,116.00321197509766	P1,117.99689483642578	FC5,121.83902740478516	POz,123.42279052734375	CP3,124.82703399658203	AF7,125.08282470703125	F7,128.32611083984375	C5,130.13607788085938	O2,131.03219604492188	P3,132.73199462890625	FT7,134.06544494628906	CP5,136.82257080078125	Oz,138.9671630859375	T7,141.26951599121094	PO3,141.67759704589844	P5,142.8663330078125	O1,146.6641387939453	TP7,148.11239624023438	P7,149.6814727783203	PO7,151.34474182128906	
FC6	FC4,28.66908836364746	FT8,29.142393112182617	C6,30.784303665161133	F6,30.790653228759766	F8,35.0034294128418	C4,41.795448303222656	F4,43.505104064941406	T8,44.15765380859375	AF8,55.869754791259766	AF4,56.373069763183594	FC2,57.04625701904297	F2,60.19734573364258	CP6,61.577972412109375	TP8,67.82672119140625	CP4,67.9677505493164	C2,69.99947357177734	Fp2,80.03863525390625	FCz,82.1740493774414	Fz,82.43649291992188	P6,86.56488800048828	CP2,86.58180236816406	P8,86.71778106689453	AFz,87.38618469238281	P4,92.16862487792969	Cz,92.6757583618164	Fpz,97.8590316772461	F1,101.8741226196289	P2,101.98820495605469	FC1,105.54273986816406	CPz,106.79187774658203	PO4,106.86679077148438	PO8,107.71783447265625	C1,114.04911804199219	Pz,116.01046752929688	F3,116.08946990966797	Fp1,117.51704406738281	AF3,119.96240234375	FC3,121.71428680419922	CP1,125.3907470703125	O2,126.32221984863281	F5,126.40766906738281	POz,128.05589294433594	AF7,130.45603942871094	P1,130.559814453125	C3,131.90408325195312	FC5,133.1788330078125	F7,134.03302001953125	Oz,137.1455841064453	CP3,139.2744140625	FT7,139.77139282226562	C5,140.91844177246094	P3,143.0389404296875	T7,146.24710083007812	CP5,146.26499938964844	O1,146.77053833007812	PO3,147.1290740966797	P5,149.87362670898438	TP7,151.8933563232422	P7,153.09732055664062	PO7,153.3081817626953	
FT8	T8,26.395700454711914	F8,26.839784622192383	FC6,29.142393112182617	C6,38.135284423828125	F6,42.58855056762695	TP8,55.94883728027344	AF8,56.00431442260742	FC4,56.72413635253906	C4,63.510704040527344	CP6,63.85636520385742	F4,64.4420394897461	AF4,66.6670150756836	P8,77.73251342773438	CP4,81.07152557373047	Fp2,82.00889587402344	F2,82.73983764648438	FC2,82.79774475097656	P6,86.2466049194336	C2,93.17337799072266	P4,98.31224060058594	PO8,100.99629974365234	Fpz,101.63420867919922	Fz,102.18284606933594	AFz,102.37467956542969	CP2,103.78174591064453	FCz,104.95685577392578	PO4,107.19979858398438	P2,112.63175201416016	Cz,114.15325164794922	F1,118.10543060302734	Fp1,120.82901763916016	O2,121.17625427246094	FC1,123.34708404541016	CPz,123.51924896240234	Pz,126.97545623779297	AF3,127.56600952148438	F3,127.86882019042969	C1,131.41015625	POz,131.79339599609375	AF7,132.87991333007812	F5,133.4473876953125	Oz,133.59629821777344	FC3,134.26947021484375	F7,135.65525817871094	CP1,139.59524536132812	FC5,139.8809356689453	P1,140.48468017578125	FT7,140.51805114746094	O1,143.51953125	C3,143.7538299560547	T7,145.7649688720703	C5,146.54119873046875	PO3,148.95919799804688	CP3,149.23764038085938	P3,149.49807739257812	TP7,150.1185302734375	CP5,150.60687255859375	PO7,150.879150390625	P7,151.3873291015625	P5,152.22003173828125	
C2	Cz,29.475107192993164	CP2,32.332252502441406	FC2,32.457481384277344	C4,36.15095520019531	FCz,43.35966873168945	CPz,44.8868293762207	CP4,45.866939544677734	FC4,47.436275482177734	P2,59.232582092285156	C1,60.645164489746094	F2,64.0121841430664	C6,65.79772186279297	Pz,66.22489929199219	FC1,67.32347869873047	P4,68.16980743408203	CP1,68.84024047851562	CP6,69.70172882080078	FC6,69.99947357177734	F4,73.50369262695312	Fz,74.41189575195312	P1,80.66828918457031	P6,81.42377471923828	F1,84.90326690673828	F6,86.87298583984375	PO4,89.44243621826172	C3,90.34479522705078	FC3,92.01793670654297	T8,92.9188461303711	FT8,93.17337799072266	POz,93.35079956054688	CP3,93.41866302490234	TP8,95.62787628173828	AFz,96.49210357666016	AF4,99.01061248779297	P8,99.30249786376953	F8,100.15486907958984	P3,100.36939239501953	F3,102.31280517578125	PO8,106.23764038085938	AF8,110.83845520019531	C5,113.186767578125	PO3,113.52801513671875	FC5,113.53343963623047	CP5,113.87596893310547	O2,114.31169891357422	P5,117.13198852539062	Oz,117.97227478027344	F5,118.35865020751953	AF3,120.848876953125	Fp2,123.26553344726562	O1,124.86968994140625	Fpz,127.90370178222656	PO7,129.46116638183594	P7,130.37269592285156	FT7,131.12950134277344	T7,132.1539764404297	F7,132.6843719482422	TP7,133.84371948242188	Fp1,135.1976318359375	AF7,136.44691467285156	
C4	FC4,31.802005767822266	C6,31.805866241455078	CP4,32.050479888916016	C2,36.15095520019531	FC6,41.795448303222656	CP6,43.994537353515625	FC2,44.19865036010742	CP2,47.414302825927734	P4,61.5791015625	T8,61.6215934753418	FT8,63.510704040527344	Cz,64.21040344238281	F4,64.99253845214844	P6,65.2722396850586	P2,66.89061737060547	F6,67.52539825439453	TP8,67.99220275878906	F2,68.0694580078125	FCz,68.2243881225586	CPz,71.77299499511719	F8,75.83135986328125	P8,77.72684478759766	PO4,82.20196533203125	Pz,82.54313659667969	Fz,86.91950225830078	AF4,87.79510498046875	C1,91.70647430419922	PO8,92.38975524902344	FC1,93.63850402832031	AF8,93.7679214477539	CP1,96.92021179199219	POz,100.31883239746094	P1,101.44898986816406	AFz,102.46422576904297	F1,102.80818176269531	O2,107.97541809082031	Fp2,113.29845428466797	FC3,114.7389144897461	C3,116.13589477539062	Oz,117.38859558105469	CP3,117.93182373046875	P3,119.1930160522461	F3,119.19702911376953	Fpz,125.06205749511719	PO3,125.45397186279297	O1,129.180419921875	FC5,131.22442626953125	AF3,131.64532470703125	CP5,132.13720703125	C5,132.2119598388672	P5,132.2146453857422	F5,132.45425415039062	PO7,137.58309936523438	Fp1,138.52072143554688	P7,141.1261749267578	F7,142.8782958984375	FT7,142.97628784179688	T7,144.3669891357422	AF7,144.5148468017578	TP7,145.22232055664062	
C6	T8,30.58368682861328	FC6,30.784303665161133	CP6,31.470767974853516	C4,31.805866241455078	FT8,38.135284423828125	TP8,42.4246826171875	CP4,44.35414123535156	FC4,44.97060775756836	P6,57.59568405151367	F8,58.88289260864258	P8,59.29007339477539	F6,61.056278228759766	P4,65.53282165527344	C2,65.79772186279297	FC2,67.79536437988281	CP2,70.40629577636719	F4,71.02262115478516	PO4,79.61933135986328	P2,80.17019653320312	PO8,80.5457534790039	F2,82.25098419189453	AF8,84.1227035522461	AF4,86.03823852539062	Cz,91.04875946044922	FCz,91.73616027832031	CPz,94.59188842773438	Pz,97.69712829589844	O2,100.97622680664062	Fz,102.36520385742188	POz,105.88045501708984	Fp2,107.99533081054688	AFz,111.66281127929688	FC1,113.46041107177734	C1,113.68563842773438	Oz,113.96134185791016	P1,116.10442352294922	CP1,116.67822265625	F1,117.8849105834961	Fpz,123.78411102294922	O1,127.63623809814453	FC3,129.4480743408203	P3,130.0049285888672	PO3,130.50381469726562	F3,130.85838317871094	C3,132.04396057128906	CP3,132.69834899902344	PO7,137.8712615966797	AF3,138.1689910888672	P5,138.33291625976562	Fp1,139.46800231933594	F5,139.985595703125	FC5,140.12271118164062	CP5,140.40541076660156	C5,141.2273406982422	P7,142.612060546875	F7,145.53924560546875	FT7,145.8250732421875	TP7,146.6327362060547	T7,146.7264862060547	AF7,146.80029296875	
